"","ShoeID","Cohort","Brand","Model","Size","Color","WearerID","Weight_lbs","Height_ft","Do.you.engage.in.any.of.the.activities.listed.bel","In.a.typical.week,.how.many.hours.do.you.spend.ca","As.a.study.participant,.how.often.do.you.anticipa"
"1","001",1,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","001",220,6.25,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"2","002",1,"Adidas","Seeley","7 W","Black","002",130,5.33,"Dancing","More than 6 hours per week","Once to three times a week"
"3","003",1,"Adidas","Seeley","7 W","Black","003",146,5.71,"Walking, Dancing","3-6 hours per week","4-6 times a week"
"4","004",1,"Nike","Winflo 4","8.5 W","Black/white-dark grey","004",127,5.71,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"5","005",1,"Nike","Winflo 4","10 M","Black/white-dark grey","005",162,5.666,"Sports activities, Walking","3-6 hours per week","All the time"
"6","006",1,"Nike","Winflo 4","10 M","Black/white-dark grey","006",160,5.75,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"7","007",1,"Adidas","Seeley","10 M","Blue night/running-white","007",143,5.583,"Walking","More than 6 hours per week","4-6 times a week"
"8","008",1,"Nike","Winflo 4","8 W","Black/white-racer pink","008",133,5.35,"Sports activities, Walking","1-3 hours per week","Once to three times a week"
"9","009",1,"Adidas","Seeley","7 W","Black","009",127,5.416,"Walking, Hiking","3-6 hours per week","Once to three times a week"
"10","010",1,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","010",176.37,5.833,"Walking","3-6 hours per week","All the time"
"11","011",1,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","011",185,5.667,"Walking, Hiking","1-3 hours per week","Once to three times a week"
"12","012",1,"Nike","Winflo 4","10 M","Binary Blue/white-black","012",155,5.833,"Sports activities, Walking, Hiking","3-6 hours per week","Once to three times a week"
"13","013",1,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","013",115,5.333,"Sports activities, Walking","1-3 hours per week","4-6 times a week"
"14","014",1,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","014",130,5.5,"Sports activities, Walking","3-6 hours per week","Once to three times a week"
"15","015",1,"Nike","Winflo 4","10.5 M","Black/white-dark grey","015",160,5.83,"Walking, Hiking","1-3 hours per week","4-6 times a week"
"16","016",1,"Adidas","Seeley","10 M","Grey","016",160,5.667,"Sports activities, Walking","More than 6 hours per week","Once to three times a week"
"17","017",1,"Nike","Winflo 4","8 W","Black/white-racer pink","017",120,5.15,"Walking","1-3 hours per week","Once to three times a week"
"18","018",1,"Nike","Winflo 4","10 M","Athracite/dark grey-black","018",132,5.833,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"19","019",1,"Nike","Winflo 4","8 W","Black/white-dark grey","019",175,5.333,"Walking","3-6 hours per week","4-6 times a week"
"20","020",1,"Nike","Winflo 4","8 W","Black/white-dark grey","020",225,5.417,"Walking, Dancing","1-3 hours per week","4-6 times a week"
"21","021",1,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","021",165,5.25,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"22","022",1,"Nike","Winflo 4","10.5 M","Black/white-dark grey","022",170,6.0833,"Walking","1-3 hours per week","All the time"
"23","023",1,"Nike","Winflo 4","8 W","Black/white-dark grey","023",115,5.25,"Walking, Dancing","3-6 hours per week","4-6 times a week"
"24","024",1,"Nike","Winflo 4","10 M","Black/Metallic silver-cool grey","024",175,5.833,"Walking","More than 6 hours per week","4-6 times a week"
"25","025",1,"Adidas","Seeley","7 W","Black","025",172,5.167,"Walking","1-3 hours per week","Once to three times a week"
"26","026",1,"Nike","Winflo 4","10.5 M","Black/white-dark grey","026",130,5.75,"Sports activities, Walking, Climbing","More than 6 hours per week","All the time"
"27","027",1,"Adidas","Seeley","10 M","Black","027",160,6.0833,"Sports activities, Walking","More than 6 hours per week","All the time"
"28","028",1,"Nike","Winflo 4","8.5 W","Black/white-dark grey","028",180,5.333,"Walking, Hiking","3-6 hours per week","All the time"
"29","029",1,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","029",200,5.917,"Walking, Climbing, Hiking","More than 6 hours per week","All the time"
"30","030",1,"Nike","Winflo 4","8 W","Black/white-dark grey","030",160,5.167,"Walking","3-6 hours per week","4-6 times a week"
"31","031",2,"Nike","Winflo 4","10 M","Athracite/dark grey-black","031",205,6,"Sports activities, Walking","More than 6 hours per week","4-6 times a week"
"32","032",2,"Nike","Winflo 4","10 M","Binary Blue/white-black","032",135,5.667,"Sports activities, Walking, Hiking","1-3 hours per week","Once to three times a week"
"33","033",2,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","033",161,5.333,"Walking","3-6 hours per week","4-6 times a week"
"34","034",2,"Adidas","Seeley","10 M","Black","034",150,5.917,"Sports activities, Walking, Climbing","3-6 hours per week","4-6 times a week"
"35","035",2,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","035",160,5.583,"Sports activities, Walking","1-3 hours per week","All the time"
"36","036",2,"Adidas","Seeley","7.5 W","Grey","036",150,8.5,"Sports activities, Walking","More than 6 hours per week","4-6 times a week"
"37","037",2,"Nike","Winflo 4","10 M","Black/white-dark grey","037",129,5.833,"Sports activities, Walking, Climbing, Hiking","3-6 hours per week","4-6 times a week"
"38","038",2,"Nike","Winflo 4","10 M","Binary Blue/white-black","038",170,5.917,"Walking, Hiking","More than 6 hours per week","4-6 times a week"
"39","039",2,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","039",165,6,"Sports activities, Walking, Hiking","3-6 hours per week","4-6 times a week"
"40","040",2,"Nike","Winflo 4","8 W","Black/white-dark grey","040",125,5.417,"Walking, Hiking","More than 6 hours per week","4-6 times a week"
"41","041",2,"Nike","Winflo 4","8 W","Black/white-racer pink","041",170,5.583,"Walking, Climbing, Hiking","More than 6 hours per week","Once to three times a week"
"42","042",2,"Adidas","Seeley","10.5 M","Blue night/running-white","042",170,5.833,"Sports activities, Walking","More than 6 hours per week","All the time"
"43","043",2,"Nike","Winflo 4","10 M","Black/white-dark grey","007",145,5.667,"Sports activities, Walking","1-3 hours per week","All the time"
"44","044",2,"Adidas","Seeley","10.5 M","Grey","043",210,5.833,"Walking, Hiking","3-6 hours per week","4-6 times a week"
"45","045",2,"Nike","Winflo 4","8 W","Black/white-dark grey","044",140,5.333,"Sports activities, Walking","1-3 hours per week","Once to three times a week"
"46","046",2,"Nike","Winflo 4","8.5 W","Glacier-grey/black-anthracite","045",185,5.5,"Sports activities, Walking","3-6 hours per week","4-6 times a week"
"47","047",2,"Nike","Winflo 4","8 W","Black/white-racer pink","046",235,5.395,"Walking, Dancing","More than 6 hours per week","4-6 times a week"
"48","048",2,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","047",153,5.833,"Sports activities, Walking, Climbing","3-6 hours per week","All the time"
"49","049",2,"Nike","Winflo 4","10.5 M","Athracite/dark grey-black","048",210,5.667,"Walking","3-6 hours per week","4-6 times a week"
"50","050",2,"Nike","Winflo 4","10 M","Athracite/dark grey-black","049",150,5.916,"Sports activities, Walking","More than 6 hours per week","All the time"
"51","051",2,"Nike","Winflo 4","10 M","Athracite/dark grey-black","050",135,5.833,"Walking, Climbing","1-3 hours per week","4-6 times a week"
"52","052",2,"Nike","Winflo 4","8 W","Black/white-racer pink","051",125,5.167,"Sports activities, Walking","More than 6 hours per week","4-6 times a week"
"53","053",2,"Nike","Winflo 4","8 W","Black/white-racer pink","052",130,5.25,"Walking","3-6 hours per week","All the time"
