"","ShoeID","Timestamp","Date","Visit.Number","Number.of.steps","Number.of.steps_Range1000","Notes","Hours.worn.per.week","Hours.worn.per.week_Range10","Percent.time.in.study.shoes.of.total.time.wearing.shoes","Grassy.surfaces","grassy.surfaces_Clean","Indoor.surfaces","indoor.surfaces_Clean","Rocky.surfaces","rocky.surfaces_Clean","Muddy.or.other.wet.surfaces","muddy.or.other.wet.surfaces_Clean","Pavement.cement.or.similar","pavement.cement.or.similar_Clean","Sport.Activities","sports.activities_Clean","Walking","walking_Clean","Dancing","dancing_Clean","Climbing","climbing_Clean","Hiking","hiking_Clean","Biking","biking_Clean"
"1","001",2018-07-25 16:07:11,"2018-01-26",1,"282720","282,000-282,999","2 Rollovers, pedometer Broke at 45,353",NA,NA,"40-60%","9",9,"50",50,"1",1,"15",15,"25",25,"1",14.2857142857142,"5",71.4285714285714,"0",0,"0",0,"0",0,"1",14.2857142857142
"2","002",2018-07-25 16:13:35,"2018-01-25",1,"43911","43,000-43,999","""Around 10,000 a week, but there was one week during the break that I didn't bring it with me to travel.""",NA,NA,"0-20%","0.05",5,"0.9",90,"0",0,"0.05",5,"0",0,"0",0,"2",9.090909090909,"20",90.9090909090909,"0",0,"0",0,"0",0
"3","003",2018-07-25 16:16:52,"2018-01-24",1,"168429","168,000-168,999","Pedometer rolled over once.","8","0-10","20-40%","0",0,"0.8",80,"0",0,"0.05",5,"0.15",15,"6",42.8571428571428,"2",14.2857142857142,"6",42.8571428571428,"0",0,"0",0,"0",0
"4","004",2018-07-25 16:18:54,"2018-01-24",1,"98533","98,000-98,999",NA,"16"," 11-20","20-40%","0.05",5,"0.8",80,"0",0,"0.05",5,"0.1",10,"0.4",40,"0.5",50,"0",0,"0",0,"0.1",10,"0",0
"5","005",NA,"2018-01-24",1,"700118","700,000-700,999","The survey is difficult to read in regards to step number. 7 rollovers. ",NA,NA,"80-100%","0.1",10,"0.6",60,"0",0,"0.2",20,"0.1",10,"0",NA,"0.21",NA,"0",NA,"0",NA,"0",NA,"1",NA
"6","006",2018-07-25 16:21:47,"2018-01-25",1,"279998","279,000-279,999","""Reset While in bag when I was bringing it in.""","40"," 31-40","60-80%","5",5,"65",65,"5",5,"10",10,"15",15,"1",50,"1",50,"0",0,"0",0,"0",0,"0",0
"7","007",2018-07-25 16:23:46,"2018-01-24",1,"98753","98,000-98,999",NA,"14"," 11-20","20-40%","0.1",10,"0.4",40,"0",0,"0.1",10,"0.4",40,"0",0,"most",100,"0",0,"0",0,"0",0,"0",0
"8","008",2018-07-25 16:27:01,"2018-01-24",1,"156755","156,000-156,999","""Rolled over 1 time""","18"," 11-20","40-60%","0.01",1,"0.7",70,"0",0,"0.01",1,"0.28000000000000003",28,"1",14.2857142857429,"3 ""every time""",42.8571428571428,"1",14.2857142857142,"2 ""Climbing Stairs""",28.5714285714285,"0",0,"0",0
"9","009",2018-07-25 16:28:52,"2018-01-24",1,"61558","61,000-61,999","""Not rolled over.""","3","0-10","0-20%","None",0,"0.7",70,"0.05",5,"None",0,"0.25",25,"0",0,"10",100,"0",0,"0",0,"0",0,"0",0
"10","010",2018-07-25 16:32:41,"2018-01-25",1,"76090","76,000-76,999","Starting date: January 12th, Submitting date: January 25, Number of times this counter reset, Counter reset steps 14320 (approx) number of steps after counter reset: 61770",NA,NA,"40-60%","0",0,"yes",-50,"0",0,"yes",-50,"yes",-50,"0",0,"yes",-50,"0",0,"0",0,"0",0,"0",0
"11","011",2018-07-25 16:34:46,"2018-01-24",1,"78153","78,000-78,999","""0 rollovers""","16"," 11-20 ","20-40%","0",0,"0.2",20,"0.1",10,"0.6",60,"0.1",10,"0",0,"yes",-50,"0",0,"0",0,"yes",-50,"0",0
"12","012",2018-07-25 16:37:10,"2018-01-28",1,"148300","148,000-148,999",NA,"20 to 30","21-30 ","20-40%","<5%",5,">80%",80,"<5%",5,"<5%",5,"<5%",5,"yes",-50,"yes",-50,"0",0,"0",0,"0",0,"0",0
"13","013",2018-07-25 16:38:34,"2018-01-24",1,"87147","87,000-87,999",NA,"10","0-10","0-20%","0",0,"40",40,"0",0,"10",10,"50",50,"2",16.6666666666666,"10",83.3333333333333,"0",0,"0",0,"0",0,"0",0
"14","014",2018-07-25 16:41:06,"2018-01-24",1,"65064","65,000-65,999","reset",NA,NA,"20-40%","0",0,"0.2",20,"0",0,"0",0,"0.8",80,"2",33.3333333333333,"4",66.6666666666666,"0",0,"0",0,"0",0,"0",0
"15","015",2018-07-25 16:42:49,"2018-01-24",1,"186304","186,000-186,999",NA,NA,NA,NA,"0%-20%",12.5,"0",0,"0",0,"0",0,"60-80%",87.5,"0",0,"6-10 times",100,"0",0,"0",0,"0",0,"0",0
